Strain,Type,CBD,THC,Daytime/Nighttime,Plant Length
X-Files,hybrid,0.008995511573572625,0.23900188622072757,DT,5.3041624568504675
Montana-Silvertip,hybrid,0.009006117706036766,0.24965128407436718,DT,5.469746575739523
Orange-Juice,hybrid,0.008998562048866022,0.23731526587244947,DT,4.357866701097809
Jack-Burton,indica,0.00997250392440171,0.1960656707145711,NT,3.3705327970773062
Bay-Dream,sativa,0.0005917664884191143,0.3226614350675064,DT,19.49836756358268
Avi-Dekel,hybrid,0.008997528524950124,0.23101966343595684,DT,3.6428925416719977
Rudeboi-Og,hybrid,0.008989486622302189,0.23879164727130267,DT,5.330331474706986
Orange-Afghani,indica,0.010007855784007553,0.2264189499769177,DT,2.8613164209544886
Ak-48,hybrid,0.008998226354974617,0.25352921051130517,NT,4.687534072315094
Dank-Sinatra,hybrid,0.008995688757758892,0.23418891405692452,DT,7.07669051398271
Frisian-Dew,hybrid,0.008995318401757518,0.2499322450522203,DT,4.846520569841166
Early-Pearl,sativa,0.0005235106006544905,0.1785119250490556,DT,13.344357777943628
Hawaiian-Snow,sativa,0.0005431087705634975,0.25665930040929114,DT,11.147032566613492
Dragons-Breath,hybrid,0.009005036309495597,0.2314439619265482,DT,5.88873385681747
Alohaberry,hybrid,0.00900167323576885,0.23792226725585316,DT,3.791216769016481
Bermuda-Sour,hybrid,0.009004039238509152,0.23382555447319844,DT,4.2294442982630605
Hawaiian-Cookies,hybrid,0.008986217425714598,0.25482062866844374,DT,5.595873479512672
Vanilluna,hybrid,0.008997735050959318,0.2521264888165031,DT,5.6232735673609175
Mendocino-Purps,hybrid,0.009000767195815674,0.2607455771689537,DT,4.981433125655209
Denver-Maple,indica,0.009950062147861836,0.21003223793904346,DT,3.2884780173803523
Black-Mamba,indica,0.009958343892658452,0.2073227972371514,NT,4.509491638157466
Phishhead-Kush,indica,0.0217069748246511,0.23243441840981893,DT,7.506146998237182
Afghan-Haze,hybrid,0.009001782308119344,0.24764297981572414,NT,5.514597260733592
Throwback-Kush,indica,0.015349654304866834,0.22986577864774227,DT,7.513969407506303
Alaska,sativa,0.000496484358256885,0.30295814472309573,DT,15.821036168674956
Hog,indica,0.009983360267587976,0.21233373893057655,NT,5.673454503092199
Super-Chronic,indica,0.022103266585627408,0.18733010072327388,NT,7.2764703402139475
Guptilla,hybrid,0.00898902451386422,0.23871592609752174,DT,5.541175252627113
Kilimanjaro,sativa,0.00028063652935175266,0.3114783067348916,DT,7.442302852128771
Paris-Og,indica,0.009989946737738403,0.25174163624509266,NT,3.967984640731054
Island-Sweet-Skunk,sativa,0.000507367065027735,0.20877228229084438,NT,5.314405306816422
Kalalau-Kush,hybrid,0.009007183066035158,0.2585168931311935,DT,4.007579527771774
Blue-Dragon,hybrid,0.008997151316265866,0.2562651828108422,DT,3.835245202661439
Phishhead-Kush,indica,0.009961144335468426,0.234975254171327,NT,5.637047521995434
Pink-Pez,hybrid,0.009009907710027123,0.24150967471369575,DT,6.547713942063832
Matanuska-Thunder-Fuck,sativa,0.00047972829851094395,0.2429594735006162,DT,13.942379568734331
White-Diesel,hybrid,0.008996032745861792,0.265458523836394,DT,6.317631681253409
Frida,indica,0.020539631976214057,0.23239453738072954,DT,5.685268309229688
Chocolate-Meringue,indica,0.01502741663605315,0.22885394741159826,DT,7.953070412289674
Sapphire-Scout,hybrid,0.009008937632281082,0.24833024791733777,NT,6.389996970184211
Special-K,hybrid,0.009002411726868585,0.23109703373307464,DT,3.8215490729847934
Orange-Turbo,hybrid,0.008999511662039108,0.24816158620428097,DT,5.991119672066477
Orange-Skunk,hybrid,0.008996066690436205,0.24662944088474414,NT,5.424100158722991
Blaze,sativa,0.00044401614636595076,0.2576233942256005,DT,8.562090943615765
Romulan-Haze,hybrid,0.008998480707535943,0.24258927380699383,DT,5.008425894492328
God-Bud,indica,0.010002297997240162,0.24166187903238806,DT,5.201756566264215
Double-Purple-Doja,indica,0.019617778518198407,0.2393675297904913,DT,4.464267321493026
White-Lsd,sativa,0.0005091294963417906,0.3046499960920894,DT,13.464450391986338
Super-Jack,sativa,0.0006529962037069026,0.33101772982621513,DT,12.169364900353974
Jacky-White,sativa,0.0004890465572889106,0.2972489982911026,DT,12.857893894939172
Big-Budda-Cheese,hybrid,0.009000155783776354,0.25907819075991056,DT,5.229739405987045
Purple-Alien-Og,hybrid,0.008992793194861877,0.24714341712431828,DT,3.9065142123017886
Blues,hybrid,0.009017725784798628,0.24318858417965847,DT,4.721662798861762
Whitewalker-Og,indica,0.010065705561293938,0.24729334905804032,DT,3.3173403486662547
Bsc,hybrid,0.009015140911423684,0.26971966659650115,DT,6.40681454890631
Sunset-Haze,hybrid,0.00899830111136605,0.2493637271749883,DT,5.540395973494824
Phatt-Frutty,indica,0.010019712154117563,0.21282992379979468,DT,5.092526195125213
Green-Ribbon,hybrid,0.008994145285483682,0.26380241589902825,DT,5.079659230326017
Zombie-Og,indica,0.009945645901735427,0.16491059038247805,DT,3.8677409888211174
Milf,hybrid,0.008995932166460774,0.2569929427682746,NT,4.6113508596719655
Grape-Drink,indica,0.01798902502430067,0.1989699959854793,NT,4.199266561787692
Sour-Cookies,hybrid,0.009002851084166187,0.24517449499191443,DT,4.9437769719060665
Zellys-Gift,sativa,0.0005912565634705333,0.28628492520294035,DT,10.242515224554792
Og-Tonic,hybrid,0.009015874062467656,0.2587484898143162,NT,4.8783376703871095
Phantom-Cookies,hybrid,0.009003182902936845,0.2566772897663184,NT,6.828193187651595
Chocolate-Meringue,indica,0.010030035022398647,0.18437675934794043,NT,5.148396697598826
Sour-Headband,hybrid,0.009003850052340032,0.2254878894020137,DT,4.90364307909496
Purple-Raine,hybrid,0.008992724524668483,0.2579595830272304,DT,6.0184728715939135
Jacked-Up,hybrid,0.009005250539175905,0.23656886930502705,DT,5.64286012293192
Romulan,indica,0.010022076094616795,0.20340202116720857,NT,3.9649753166580037
Berkeley,sativa,0.0004393607806526599,0.294845374350107,DT,15.800909792185656
Platinum-Purple-Kush,indica,0.010010913664399214,0.2259433936986142,DT,4.3180018449414
Pez,indica,0.019107441800194976,0.2074031761856331,DT,3.040616696382816
Big-Skunk-Korean,hybrid,0.009000358208228556,0.2524081235600032,DT,4.652763233145423
Triple-Cheese,indica,0.02530067741175389,0.2085261228163911,DT,4.633555864427318
Colorado-Bubba,indica,0.018108123902954784,0.18695796306362525,DT,7.252295125567956
Orange-Wreck,sativa,0.0005671204569831476,0.25463473783928026,DT,10.81421128129977
Green-Queen,hybrid,0.009013188531498243,0.2507265410118196,DT,6.017255457045718
Blue-Cinex,hybrid,0.008995538655402464,0.24674311917673714,DT,5.266751487597449
Pink-Lemonade,hybrid,0.008998844634286005,0.257076752995687,DT,5.6218158477477145
White-Walrus,hybrid,0.00899085578235169,0.24612149120794777,DT,3.7333253749790263
Lemon-G,sativa,0.0004258240462974196,0.29470810458785324,DT,13.834728517633971
East-Coast-Sour-Diesel,sativa,0.0005556978615952432,0.2628853448470875,DT,15.174442937047175
Dj-Short-Blueberry,indica,0.00994369912485298,0.24983407554385498,DT,5.7785375603687
Belladonna,hybrid,0.008995424551241202,0.2613237223723702,DT,6.914440285695057
Medicine-Man,hybrid,0.009005560699851268,0.251359862491196,DT,3.942369762554012
Outlaw,sativa,0.0006355142292331065,0.30119804365457087,DT,14.06671456096369
Berry-Larry,hybrid,0.008990899830183726,0.2525340308101755,DT,5.1484968527641035
Qush,indica,0.009925226013376677,0.2383502216586821,DT,4.763928571149118
Bear-Dance,hybrid,0.00899955361153636,0.23639353851312056,DT,4.733641131969453
Wonder-Haze,hybrid,0.009002138991920578,0.24433186730606227,DT,4.945034091790014
Leonidas,sativa,0.0005073977393402319,0.23338471429686142,DT,8.659113083715095
Gobbilygoo,indica,0.009939748989767164,0.20507595217454,DT,6.364146856946659
Maui-Haole,hybrid,0.009011114610466183,0.25003590497542055,DT,4.507459976281218
Ocas-Cloud-9,hybrid,0.008985524127706764,0.2647799663390969,DT,3.77770623152076
Pineapple-Cookies,hybrid,0.008988240977714678,0.2529679268038917,DT,6.479111498966421
Wappa,hybrid,0.00900620848649624,0.24252803805656695,NT,6.372074847640981
91-Krypt,indica,0.009965091066376388,0.21531449815454531,DT,6.3414786576502635
Ogs-Pearl,indica,0.009933280352090828,0.22843576813791328,DT,5.4274282389151
Crimea-Blue,hybrid,0.009012002414535142,0.24432752508462202,DT,4.73187356988963
Shiva-Skunk,indica,0.010001204015262413,0.20912836384454003,DT,5.1267194056157175
Hawaiian-Thunder-Fuck,hybrid,0.009016113373603108,0.2525219561511698,DT,6.265430164047339
Oteils-Egyptian-Kush,hybrid,0.008985429246277165,0.269490746684324,DT,5.402298272900448
Faygo-Red-Pop,indica,0.010045613088117706,0.22663579577192433,DT,6.574953620823802
Afghani,indica,0.010023018849475747,0.1871503430953889,DT,6.217216258812079
Rebel-God-Smoke,sativa,0.0004222018737837853,0.23702262596217039,DT,10.628569768275577
Dank-Schrader,indica,0.00998954486811472,0.1934488965922476,DT,3.3971238238635335
Ringos-Gift,hybrid,0.009016203148091428,0.24504241492543138,DT,3.2559041125431554
Romulan,indica,0.01897562063498957,0.20428307613213115,DT,5.407485883575253
Crimea-Blue,hybrid,0.009001948750102753,0.24820084817049437,DT,5.986666817803977
K2,hybrid,0.009004286543482067,0.24478750286062334,NT,4.236987375719925
Serious-Happiness,hybrid,0.009017434930506838,0.24815193402523067,DT,5.92146374266277
Afghooey,indica,0.010023361567149294,0.20186259257634526,DT,5.62398516896954
Pinot-Green,sativa,0.0006378162563604646,0.3341619815262431,DT,10.36387051060354
Iced-Widow,indica,0.02267382974394995,0.23510021207894638,NT,6.05123435643394
Moondance,sativa,0.0005709077368805008,0.23051758465113012,DT,13.53054857716025
Black-Mamba,indica,0.010019639323291033,0.21478159912404057,DT,4.403033664240699
Kandy-Kush,hybrid,0.008995774479001397,0.254290583706655,DT,3.193333096416098
Nebula,hybrid,0.009003988097473721,0.2676536070751678,DT,4.76107598421298
3-Bears-Og,indica,0.024982843544637968,0.2165668308542012,NT,4.750392892076243
Purple-Swish,indica,0.015072949098266796,0.24502057079439676,DT,4.249357292596286
Fire-Alien-Kush,hybrid,0.009017926119665851,0.2583818004344934,NT,4.138613630803457
Madman-Og,hybrid,0.008991606556378505,0.2520373742018704,DT,5.662683809137952
Sensi-Star,indica,0.010001252293895889,0.25237676624116967,DT,3.676549094560363
Silver-Nina,hybrid,0.009011136399957393,0.23441645693250582,DT,5.903152292970978
Citrus-Kush,hybrid,0.009016893955549426,0.24134874871580425,DT,5.2582638055634945
Jet-Fuel,hybrid,0.00901214567869023,0.2492816989851947,NT,5.621358120515016
The-Third-Dimension,hybrid,0.008982462052910426,0.24524146929466853,NT,6.849051948702836
Mega-Jackpot,hybrid,0.00900297457918078,0.24720615712512836,DT,4.8489553214504815
Cashus-Clay,hybrid,0.008995779538220817,0.23638405621389624,DT,5.105172037652996
Americano,indica,0.010027258417394448,0.20117207808916363,DT,5.24106993596624
Guptilla,hybrid,0.008991051209399034,0.24007037429151487,DT,5.547704334597527
Hawaii-78,sativa,0.000508468748731013,0.31043376399228095,NT,19.440225299707514
Ice,hybrid,0.0089985897149062,0.25338722590896384,DT,6.283917198013855
Jolly-Rancher,hybrid,0.00898924169977918,0.24752827131687447,DT,4.70643637949515
Pure-Power-Plant,hybrid,0.008995426137230832,0.2524656941285757,NT,6.4959606974912925
Blue-Hash,hybrid,0.008996224540047344,0.2575046290219308,NT,5.315754496490176
Russian-Assassin,indica,0.012079629437146343,0.2473180835358426,NT,5.723051123057148
Silver-Surfer,hybrid,0.009002376454597068,0.25764529085796695,DT,6.569069207988867
Starfighter,hybrid,0.008985712759534532,0.251969513404934,DT,4.680393953264085
Sugar-Calyx,hybrid,0.009002607476578592,0.24820051857877132,NT,5.115387875888859
Blukashima,hybrid,0.009009400634003364,0.22674658067819103,DT,5.955204701833394
Kiwiskunk,indica,0.010044714399332858,0.2225652606028372,DT,5.092404517716404
Platinum-Purple-Kush,indica,0.019582088523893208,0.19224700882156903,DT,4.1092921726543405
Deadhead-Og,hybrid,0.009006770135196195,0.24819769345453957,NT,3.8917508013592617
Dream-Star,hybrid,0.008988317848701457,0.23944706542626257,NT,3.8763983041531267
Cookies-And-Dream,hybrid,0.00900250423524244,0.2439058557463018,DT,4.686700515724971
Hawaiian-Punch,sativa,0.0005945678022271877,0.25630678256188133,DT,13.562825514181682
Tyson,indica,0.009929520888119115,0.21346882674090686,DT,4.374032479398288
Y-Griega,sativa,0.0005154318057717102,0.28612514217644064,DT,13.861629580817715
Guava-Gelato,hybrid,0.009017956190323901,0.24361901335827063,NT,5.8610435880840335
Recon,indica,0.028795846452557415,0.22649395207516565,DT,6.186909928172493
Belladonna,hybrid,0.008993215884912927,0.26023887661654255,NT,4.959322371802366
Capers,indica,0.02399093925178053,0.2166457872065265,NT,4.599800055762751
Bob-Saget,sativa,0.0003823013811403517,0.3103378820352115,DT,13.504627496381817
Key-Lime-Pie,hybrid,0.009006548698489233,0.2680276009264876,DT,5.240693716713155
Chiesel,hybrid,0.008994259214325217,0.26073237743348554,NT,6.906712087752862
Alf,hybrid,0.008989239032705093,0.23628858987075801,DT,5.247975562521317
Neptune-Og,indica,0.02501786937984014,0.22826748968000582,DT,3.428941070619938
Island-Sweet-Skunk,sativa,0.0005262858109484281,0.2262664789353564,DT,9.914021952016581
Gupta-Haze,hybrid,0.00900213280756586,0.2641277187674102,DT,5.957008801799634
Og-Wreck,hybrid,0.009002695502109657,0.23875922084731652,NT,4.800639302655716
Voodoo,sativa,0.0003691793558203335,0.2897089509746959,DT,12.942728872953937
Delahaze,sativa,0.00029596019765492564,0.2130226565728033,DT,10.303775972524617
Slazerbeam,sativa,0.0006567025051166361,0.3174510198737999,DT,15.373108885874121
Pez,indica,0.010014112882267494,0.2372554597932016,DT,7.01930235987674
Edelweiss,indica,0.01007062899938785,0.2039454785059213,DT,4.217145825556619
Megalodon,sativa,0.0004856155659809318,0.28425637021813477,DT,7.680909754648051
Bubbas-Gift,indica,0.010063092794309735,0.1828069766977609,DT,5.811282849291515
Super-Snow-Dog,sativa,0.0005814621553549382,0.2552566807696454,DT,7.272183189700143
Hawaiian-Cookies,hybrid,0.00899878930530999,0.26091820839581936,DT,5.905018717751212
Alien-Abduction,hybrid,0.008984160763652443,0.24680587068933005,NT,3.539321834701513
Jacky-White,sativa,0.00040026414266708485,0.31645486076532364,DT,8.133023268933865
Salmon-River-Og,indica,0.01391265920380909,0.22068559095283585,DT,5.0072134963567025
Purple-Tide,hybrid,0.008997776914799029,0.23893392163480992,DT,4.265814025550503
Og-Sour-Diesel,hybrid,0.009002953202066942,0.2522645750334961,NT,4.938393052499342
Sumo-Og-Kush,indica,0.009999090228262666,0.2020219959631154,NT,5.334045513373672
Orange-Blossom,hybrid,0.009007593601721318,0.2525419992821539,NT,5.297691921900811
Gi-001,hybrid,0.008996534807167427,0.2323993185896819,DT,6.038116271664914
Chocolope-Kush,hybrid,0.00900314505098612,0.2416774860933576,DT,5.52102095841453
Stardawg-91,indica,0.023937926231914427,0.2559369964532069,DT,5.991998317836736
Hawaiian-Trinity,hybrid,0.008998946812618182,0.2554774656489364,NT,4.756421752547678
X-Wing,indica,0.009994635211896368,0.21460444312827295,DT,7.6623979462694205
Green-Candy,sativa,0.0004907062530967345,0.2384011771560369,DT,14.128232101089012
Malakoff,sativa,0.00047565843252630183,0.3027575514429329,DT,10.121927995310871
Big-Bang,indica,0.009983986713849088,0.2295453308078999,NT,4.225293030445859
Harry-Potter,hybrid,0.008994842357513994,0.2696148177158749,DT,4.638464414079257
Special-K,hybrid,0.009010152156279627,0.2561016878145696,NT,6.5055335454665375
Kilimanjaro,sativa,0.0005449310203291933,0.2853723421957236,DT,9.851318566630235
Purple-Mr-Nice,indica,0.009995278119651224,0.2546713206490099,DT,5.012208090148053
Platinum-Gsc,hybrid,0.008990868856155234,0.2283779755557994,DT,5.409195938053664
Nypd,sativa,0.000543933017308883,0.2965065041626696,DT,11.74874846110588
Honey-Boo-Boo,indica,0.021234953767262633,0.225872458512709,DT,6.361478791438207
Alien-Dutchess,sativa,0.0005119990382905846,0.26971961088910956,NT,13.660539554076838
Blackberry-Bubble,indica,0.00999244087058533,0.23549829017746138,DT,4.888223753611638
Kings-Bread,sativa,0.0002266979597982529,0.29990660602612684,DT,10.879674509046124
Black-Cherry-Soda,hybrid,0.009008310699490272,0.24460511264078666,DT,6.382605392253994
Bakerstreet,indica,0.018234745432270508,0.21330208592316718,DT,5.405179561386486
Double-D,indica,0.016057440658786462,0.2526435245633761,NT,2.820062652490018
Kahuna,indica,0.014461514984593055,0.2299320607425963,DT,5.2307099006030535
Patti-Cake,hybrid,0.008992273654268666,0.2525397383397156,NT,5.653115315875491
Chem-Valley-Kush,hybrid,0.008998984023203122,0.2536548481707066,DT,4.331764309856603
Cuvee,indica,0.009933094401015538,0.21360301183712999,DT,5.059478191176751
Lake-Of-Fire,hybrid,0.009023035165655726,0.23766450465284866,DT,4.543531426945072
Ice-Queen,hybrid,0.008987261280050401,0.26427615775874325,NT,5.018264904678871
Jericho-Haze,sativa,0.0003804249497459539,0.32718645236686045,DT,17.159246540221737
Lemon-Daddy,hybrid,0.009017653269441386,0.2467907857098632,DT,5.034739950289483
Athabasca,indica,0.009948654249431968,0.18830564671230704,NT,5.372470503103724
Domino,indica,0.010021193244801425,0.21523860440166698,DT,3.690517625067154
Highwayman,hybrid,0.009009297741947258,0.2516542315538766,DT,3.7550216331483117
White-Empress,indica,0.01810456541980364,0.2028271086295362,NT,4.361742804443044
Nightfire-Og,sativa,0.0003168035940570536,0.30785035938173533,NT,12.919184986969709
Duke-Nukem,hybrid,0.008985288160379835,0.2673798812782804,DT,5.628319156055593
Emerald-Jack,sativa,0.00038390879275517175,0.29838098319395967,DT,13.023113665293499
Golden-State-Banana,indica,0.024133094477405928,0.2250661287660807,DT,5.053142700443414
Maui-Wowie,sativa,0.0004492199464625859,0.295975942022861,DT,15.013160993434173
Blueberry-Cheesecake,hybrid,0.00900856323275221,0.2558762833870104,NT,5.268605406439775
Proper-Pho-Shatter-S,sativa,0.0006658671648149836,0.24954173721424958,DT,9.468121739172652
